city,population_proper
"Lisabeula, WA",
"Saint John, WA",558
"Spokane Valley, WA",96340
"Bellevue, WA",141400
"Custer, WA",
"Orcas, WA",
"Diablo, WA",
"Christopher, WA",
"Midvale Corner, WA",
"Marysville, WA",67626
"Newcastle, WA",11567
"North Bend, WA",6739
"Three Lakes, WA",
"Kendall, WA",
"Kanaskat, WA",
"Wilbur, WA",835
"Enumclaw, WA",11654
"Nile, WA",
"Alderwood Manor, WA",
"Clarkston Heights, WA",
"Pacific Beach, WA",
"Napavine, WA",1868
"Hatton, WA",100
"Shelton, WA",9980
"Chimacum, WA",
"Naselle, WA",
"Grotto, WA",
"Bellingham, WA",87574
"Castle Rock, WA",2212
"Pine City, WA",
"Nooksack, WA",1525
"Elma, WA",3053
"Kenmore, WA",22357
"Ellensburg, WA",19786
"Belmont, WA",
"DuPont, WA",9497
"Long Beach, WA",1389
"Seabeck, WA",
"Granite Falls, WA",3525
"Tonasket, WA",1013
"Otis Orchards, WA",
"Milton, WA",7970
"West Pasco, WA",
"Badger, WA",
"Lamont, WA",73
"Ravensdale, WA",
"Rollingbay, WA",
"Rocky Point, WA",
"Garrett, WA",
"Grayland, WA",
"Gilberton, WA",
"Withrow, WA",
"Stanwood, WA",7009
"Sudden Valley, WA",
"Meridian, WA",
"Aberdeen Gardens, WA",
"Possession, WA",
"Benton City, WA",3276
"Bickleton, WA",
"Elmer City, WA",239
"Doty, WA",
"East Wenatchee, WA",13968
"Newman Lake, WA",
"Freeland, WA",
"Indianola, WA",
"Cowiche, WA",
"Husum, WA",
"Pataha, WA",
"Lamona, WA",
"Skokomish, WA",
"Vaughn, WA",
"Ruby, WA",
"Bryant, WA",
"Coalfield, WA",
"Swede Heaven, WA",
"Spokane, WA",215973
"Brady, WA",
"Spring Glen, WA",
"Hoodsport, WA",
"Leavenworth, WA",1994
"Tanglewilde, WA",
"Bow, WA",
"Carlsborg, WA",
"North Lynnwood, WA",
"Cedar Falls, WA",
"Chelan, WA",4108
"Wilson Creek, WA",210
"Latah, WA",187
"Brownsville, WA",
"Amber, WA",
"Zenith, WA",
"Goodnoe Hills, WA",
"Camas, WA",22449
"Olalla, WA",
"Basin City, WA",
"Blaine, WA",5164
"Oroville, WA",1677
"Orchards, WA",
"Union Gap, WA",6110
"Mead, WA",
"Manzanita, WA",
"Pasco, WA",70579
"Touchet, WA",
"Pe Ell, WA",643
"Sappho, WA",
"Hunters, WA",
"Gleed, WA",
"Fairfield, WA",605
"Torboy, WA",
"Cashmere, WA",3162
"Willapa, WA",
"Issaquah, WA",37322
"Toppenish, WA",8973
"Finley, WA",
"Darrington, WA",1385
"Picnic Point, WA",
"Aeneas, WA",
"Cedarhurst, WA",
"Four Lakes, WA",
"Dayton, WA",2427
"Port Madison, WA",
"Orting, WA",7693
"Wheeler, WA",
"Fircrest, WA",6780
"Lebam, WA",
"Marrowstone, WA",
"North Puyallup, WA",
"Five Corners, WA",
"Graham, WA",
"Longview Heights, WA",
"Hobart, WA",
"Point Roberts, WA",
"Town and Country, WA",
"Lake Hills, WA",
"Rosedale, WA",
"Irondale, WA",
"Dishman, WA",
"Bayview, WA",
"Conconully, WA",213
"Entiat, WA",1208
"Lochsloy, WA",
"Brinnon, WA",
"Seahurst, WA",
"Dixie, WA",
"Eastgate, WA",
"Blockhouse, WA",
"Buena, WA",
"Grapeview, WA",
"Startup, WA",
"Hayford, WA",
"Westport, WA",2035
"Southworth, WA",
"Twisp, WA",952
"Milan, WA",
"Ritzville, WA",1626
"Lake Goodwin, WA",
"McMurray, WA",
"Portage, WA",
"Lake Bosworth, WA",
"Fords Prairie, WA",
"Carson, WA",
"Mount Vista, WA",
"Vancouver, WA",174826
"Chelan Falls, WA",
"Espanola, WA",
"Battle Ground, WA",20110
"Summitview, WA",
"Geneva, WA",
"Queets, WA",
"Wollochet, WA",
"College Place, WA",9142
"Garfield, WA",611
"Ruff, WA",
"Bell Hill, WA",
"Glenwood, WA",
"Riverbend, WA",
"Samish, WA",
"Trout Lake, WA",
"Mount Vernon, WA",34590
"Ferndale, WA",13403
"Hansville, WA",
"Wickersham, WA",
"White Salmon, WA",2473
"Oysterville, WA",
"Aberdeen, WA",16334
"Melbourne, WA",
"Plymouth, WA",
"Winlock, WA",1337
"Satsop, WA",
"Merritt, WA",
"Peshastin, WA",
"Marble, WA",
"South Snohomish, WA",
"Richmond Highlands, WA",
"Goldendale, WA",3449
"Nisqually, WA",
"Tillicum, WA",
"Anatone, WA",
"Tulalip, WA",
"Orient, WA",
"Dieringer, WA",
"Frederickson, WA",
"Keller, WA",
"Marblemount, WA",
"Turner, WA",
"Everett, WA",109043
"Burien, WA",50997
"Riner, VA",
"Powhatan, VA",
"Natural Bridge, VA",
"Chamberlayne Heights, VA",
"Manassas Park, VA",15915
"McClure, VA",
"Brownsburg, VA",
"Burgess, VA",
"Lake Barcroft, VA",
"Clover, VA",
"Columbia, VA",80
