city,population_proper
"Waldo, KS",30
"Delia, KS",166
"Willard, KS",92
"Cullison, KS",101
"Horace, KS",72
"Oskaloosa, KS",1078
"Belleville, KS",1894
"Chetopa, KS",1061
"Harlan, KS",
"Franklin, KS",
"Dellvale, KS",
"Paxico, KS",213
"Ashton, KS",
"Highland, KS",1000
"Stockton, KS",1297
"Beloit, KS",3769
"Preston, KS",158
"Fall River, KS",150
"Antelope, KS",
"Leon, KS",701
"Pleasanton, KS",1176
"Grigston, KS",
"Tescott, KS",311
"Jingo, KS",
"Melrose, KS",
"Florence, KS",441
"Fostoria, KS",
"Lancaster, KS",290
"Uniontown, KS",267
"Cottonwood Falls, KS",869
"Hudson, KS",123
"Morehead, KS",
"Virgil, KS",66
"Altamont, KS",1043
"Kingsdown, KS",
"Manhattan, KS",54983
"Circleville, KS",167
"Harding, KS",
"Princeton, KS",262
"Osawatomie, KS",4308
"Wells, KS",
"Mulberry, KS",519
"Agricola, KS",
"Milton, KS",
"Wichita, KS",389902
"Hillsdale, KS",
"Kincaid, KS",118
"Plymouth, KS",
"Colwich, KS",1398
"Derby, KS",23633
"Emmett, KS",190
"Riverdale, KS",
"Simpson, KS",84
"Dover, KS",
"Dighton, KS",970
"Girard, KS",2748
"Fairmount, KS",
"Barnard, KS",67
"Edna, KS",414
"Speed, KS",35
"Climax, KS",67
"Stull, KS",
"Clifton, KS",529
"Mission, KS",9443
"Norcatur, KS",146
"Webber, KS",24
"Elwood, KS",1164
"Hill City, KS",1455
"Saint Leo, KS",
"Peoria, KS",
"Savage, MT",
"Corbin, MT",
"Shelby, MT",3216
"Darby, MT",763
"Winnett, MT",185
"Post Creek, MT",
"Klein, MT",
"Alder, MT",
"Big Sky, MT",
"McAllister, MT",
"Shirley, MT",
"Waterloo, MT",
"Three Forks, MT",1944
"Antelope, MT",
"Poplar, MT",854
"Wolf Point, MT",2806
"Stryker, MT",
"Saco, MT",197
"Heart Butte, MT",
"Rockvale, MT",
"Flatwillow, MT",
"Kinsey, MT",
"Kevin, MT",138
"Hobson, MT",218
"Gilman, MT",
"Geyser, MT",
"Fort Belknap Agency, MT",
"Jardine, MT",
"Hingham, MT",122
"Monarch, MT",
"Augusta, MT",
"Townsend, MT",1978
"Pendroy, MT",
"Cushman, MT",
"Rapelje, MT",
"Birney, MT",
"Hamilton, MT",4674
"Sedan, MT",
"Butte, MT",33853
"Lonepine, MT",
"Saltese, MT",
"Fallon, MT",
"Huntley, MT",
"Missoula, MT",72364
"Whitetail, MT",
"Fort Benton, MT",1456
"Windham, MT",
"Bear Dance, MT",
"Charlo, MT",
"Hinsdale, MT",
"Fromberg, MT",445
"Boyes, MT",
"Lohman, MT",
"Dean, MT",
"Stevensville, MT",1963
"Froid, MT",201
"Bainville, MT",314
"Hardy, MT",
"Rexford, MT",151
"Fort Peck, MT",247
"Victor, MT",
"Muddy, MT",
"Sangrey, MT",
"Cut Bank, MT",3012
"Alberton, MT",417
"Willow Creek, MT",
"Basin, MT",
"Lockwood, MT",
"Sanders, MT",
"Columbus, MT",2028
"Bighorn, MT",
"Radersburg, MT",
"Beaver Creek, MT",
"De Borgia, MT",
"Ravalli, MT",
"Hysham, MT",301
"Red Rock, MT",
"Chinook, MT",1233
"Dodson, MT",124
"West Glendive, MT",
"Culbertson, MT",804
"Elliston, MT",
"Snider, MT",
"Turtle Lake, MT",
"Box Elder, MT",
"Utica, MT",
"Denton, MT",247
"Gallatin Gateway, MT",
"Martinsdale, MT",
"East Missoula, MT",
"Galata, MT",
"Wyola, MT",
"Condon, MT",
"Broadview, MT",193
"Glasgow, MT",3364
"South Glastonbury, MT",
"Colstrip, MT",2311
"Raymond, MT",
"Haugan, MT",
"Dell, MT",
"Harlowton, MT",984
"Jordan, MT",399
"Joliet, MT",640
"Opportunity, MT",
"King Arthur Park, MT",
"Elkhorn, MT",
"Hanover, MT",
"Intake, MT",
"Richey, MT",187
"Rocky Boy's Agency, MT",
"Janney, MT",
"Churchill, MT",
"Plevna, MT",176
"Belgrade, MT",8254
"Dillon, MT",4257
"Nashua, MT",290
"Molt, MT",
"Evaro, MT",
"West Riverside, MT",
"Logan, MT",
"Blackfoot, MT",
"Raynesford, MT",
"Orchard Homes, MT",
"Broadwater, MT",
"Fortine, MT",
"Dixon, MT",
"Gildford, MT",
"Hedgesville, MT",
"Turah, MT",
"West Yellowstone, MT",1353
"White Pine, MT",
"Niarada, MT",
"Montague, MT",
"Barber, MT",
"Glentana, MT",
"Lewistown Heights, MT",
"Avon, MT",
"Grantsdale, MT",
"Seeley Lake, MT",
"Fairview, MT",922
"Loma, MT",
"West Havre, MT",
"Pryor, MT",
"Eureka, MT",1086
"Saint Marie, MT",
"Ismay, MT",21
"Arlee, MT",
"Wagner, MT",
"Ingomar, MT",
"Deer Lodge, MT",2994
"Canyon Creek, MT",
"White Sulphur Springs, MT",908
"Bigfork, MT",
"Superior, MT",826
"Black Eagle, MT",
"Highwood, MT",
"Kalispell, MT",22761
"Saint Pierre, MT",
"Goldcreek, MT",
"Laredo, MT",
"Evergreen, MT",
"Shepherd, MT",
"Gibson Flats, MT",
"Babb, MT",
"Holt, MT",
"White Haven, MT",
"Hot Springs, MT",557
"Hogeland, MT",
"Creston, MT",
"Broadus, MT",481
"Bynum, MT",
"Lambert, MT",
"Kila, MT",
"Sand Coulee, MT",
"Buffalo, MT",
"Trout Creek, MT",
"Maxville, MT",
"Outlook, MT",52
"Clinton, MT",
"Piltzville, MT",
"Judith Gap, MT",123
"Batavia, MT",
"Zortman, MT",
"Noxon, MT",
"Bridger, MT",732
"Helmville, MT",
"Tarkio, MT",
"Flaxville, MT",71
"Wibaux, MT",649
"Garrison, MT",
"Proctor, MT",
"Peerless, MT",
"Clancy, MT",
"Great Falls, MT",59178
"Cohagen, MT",
"Wolf Creek, MT",
"Silesia, MT",
"Lincoln, MT",
"Billings, MT",110323
"Old Agency, MT",
"Medicine Lake, MT",241
"Toston, MT",
"Whitewater, MT",
"Craig, MT",
"Ethridge, MT",
"Wilsall, MT",
"Saint Regis, MT",
"Wise River, MT",
"Lima, MT",224
"Farmington, MT",
"Vida, MT",
"Sun Prairie, MT",
"Four Corners, MT",
"Simms, MT",
"Kremlin, MT",
"Power, MT",
"Ekalaka, MT",353
"East Glacier Park Village, MT",
"Rollins, MT",
"Carlton, MT",
"Greycliff, MT",
"Twodot, MT",
"Dewey, MT",
"Sheridan, MT",677
"Big Arm, MT",
"Hardin, MT",3829
"Finley Point, MT",
"Worden, MT",
"Kerr, MT",
"Heath, MT",
"Moiese, MT",
"Wye, MT",
"Conrad, MT",2550
"Lindsay, MT",
"Glendive, MT",5332
"Boyd, MT",
"Lakeside, MT",
"Suffolk, MT",
"Anaconda, MT",
"Dutton, MT",308
"Forest Hill Village, MT",
"Santa Rita, MT",
"Miles City, MT",8647
"Lindisfarne, MT",
"Norris, MT",
"Springhill, MT",
"Lolo, MT",
"Paradise, MT",
"Alzada, MT",
"Red Lodge, MT",2237
"Ringling, MT",
"Choteau, MT",1686
"Ovando, MT",
"Coffee Creek, MT",
"Lewistown, MT",5870
"Libby, MT",2678
"Lame Deer, MT",
"Emigrant, MT",
"Luther, MT",
"Ballantine, MT",
"Pioneer Junction, MT",
"Jefferson City, MT",
"Kiowa, MT",
"Parker School, MT",
"Frazer, MT",
"Fife, MT",
"Moore, MT",198
"Frenchtown, MT",
"Danvers, MT",
"Whitlash, MT",
"Marion, MT",
"Jeffers, MT",
"Glen, MT",
"Jackson, MT",
"Grant, MT",
"Charlos Heights, MT",
"Havre, MT",9846
"Saint Ignatius, MT",824
"Foster, MT",
"Fort Shaw, MT",
"Herron, MT",
"Drummond, MT",348
"Wisdom, MT",
"Westby, MT",174
"Trego, MT",
"Hilger, MT",
"Terry, MT",609
"Garneill, MT",
"Roundup, MT",1840
"Hays, MT",
"Pinnacle, MT",
"Rudyard, MT",
"Browning, MT",1031
"Rosebud, MT",
"Edgar, MT",
"Grass Range, MT",108
"Hungry Horse, MT",
"Belfry, MT",
"Chico Hot Springs, MT",
"Big Sandy, MT",590
"Hathaway, MT",
"Dagmar, MT",
"Saint Xavier, MT",
"Winifred, MT",206
"Sidney, MT",6566
"Crow Agency, MT",
"Anceney, MT",
"Azure, MT",
"Inverness, MT",
"Gardiner, MT",
"Portage, MT",
"Fishtail, MT",
"Whitefish, MT",7279
"Bearcreek, MT",84
"Joplin, MT",
"Ennis, MT",890
"Bozeman, MT",45250
"McLeod, MT",
"Divide, MT",
"Winston, MT",
"Saint Mary, MT",
"Park City, MT",
"Harrison, MT",
"Laurel, MT",6865
"Brockway, MT",
"Boneau, MT",
"Miner, MT",
"Floweree, MT",
"Absarokee, MT",
"Circle, MT",619
"Stockett, MT",
"Sunburst, MT",338
"Polebridge, MT",
"McCabe, MT",
"Lake Mary Ronan, MT",
"Happys Inn, MT",
"Ryegate, MT",236
"Sun River, MT",
"Geraldine, MT",261
"Coram, MT",
"Neihart, MT",50
"Saddle Butte, MT",
"Big Timber, MT",1645
"Cardwell, MT",
"Ashland, MT",
"Myers, MT",
"Weeksville, MT",
"Kicking Horse, MT",
"Carter, MT",
"Lustre, MT",
"Oswego, MT",
"Silver Gate, MT",
"Silver Star, MT",
"Unionville, MT",
"Huson, MT",
"Thompson Falls, MT",1356
"Reed Point, MT",
"Sula, MT",
"Richland, MT",
"Square Butte, MT",
"Heron, MT",
"Scobey, MT",1032
"Lodge Grass, MT",446
"Olney, MT",
"East Helena, MT",2074
"Custer, MT",
"Sylvanite, MT",
"Pompeys Pillar, MT",
"Trident, MT",
"Marysville, MT",
"Warm Springs, MT",
"Crane, MT",
"Ramsay, MT",
"Ronan, MT",2016
"Belknap, MT",
"Shawmut, MT",
"Roberts, MT",
"Teigen, MT",
"Harlem, MT",823
"Waltham, MT",
"Elmo, MT",
"Philipsburg, MT",920
"Hall, MT",
"Troy, MT",890
"Perma, MT",
"Garryowen, MT",
"Musselshell, MT",
"Rocky Point, MT",
"Martin City, MT",
"Acton, MT",
"Melrose, MT",
"Lodge Pole, MT",
"Twin Bridges, MT",395
"Biddle, MT",
"Vaughn, MT",
"Brockton, MT",243
"Columbia Falls, MT",5241
"Brady, MT",
"Moccasin, MT",
"Opheim, MT",88
"Baker, MT",1990
"Swan Lake, MT",
"Cascade, MT",688
"Chester, MT",884
"Forsyth, MT",1869
"Virginia City, MT",198
"Pony, MT",
"Camas, MT",
"Essex, MT",
"Roy, MT",
"Woods Bay, MT",
"Cameron, MT",
"Redstone, MT",
"Camp Three, MT",
"Fairfield, MT",726
"Cooke City, MT",
"Jette, MT",
"Crackerville, MT",
"Agawam, MT",
"Corvallis, MT",
"De Smet, MT",
"Boulder, MT",1230
"Dayton, MT",
"North Browning, MT",
"Starr School, MT",
"Pray, MT",
"Fort Smith, MT",
"Reserve, MT",
"Homestead, MT",
"Montana City, MT",
"Plentywood, MT",1904
"Clyde Park, MT",309
"Ulm, MT",
"West Glacier, MT",
"Austin, MT",
"Capitol, MT",
"Plains, MT",1071
"Armington, MT",
"Helena, MT",31169
"Yaak, MT",
"Bonner, MT",
"Melstone, MT",107
"Florence, MT",
"Kings Point, MT",
"Belt, MT",588
"Lozeau, MT",
"Springdale, MT",
"Corwin Springs, MT",
"Malta, MT",1950
"Conner, MT",
"Dunkirk, MT",
"Roosville, MT",
"Manhattan, MT",1691
"Nye, MT",
"Whitehall, MT",1114
"Busby, MT",
"Walkerville, MT",700
"Somers, MT",
"Pinesdale, MT",967
"Riverbend, MT",
"South Browning, MT",
"Tracy, MT",
"Madoc, MT",
"Polson, MT",4777
"Stanford, MT",384
"Roscoe, MT",
"Fox Lake, MT",
"Park Grove, MT",
"East Glacier Park, MT",
"Amsterdam, MT",
"Kolin, MT",
"Melville, MT",
"Lavina, MT",173
"Comanche, MT",
"Limestone, MT",
"Sweet Grass, MT",
"Valier, MT",498
"Livingston, MT",7401
"Pablo, MT",
"Turner, MT",
"Dupuyer, MT",
"Holmesville, MS",
"Leaf, MS",
"Metcalfe, MS",1008
"Meadville, MS",432
"Dundee, MS",
"Bolivar, MS",
"Crandall, MS",
"Bailey, MS",
"Harperville, MS",
"Vancleave, MS",
"Boyle, MS",610
"Columbia, MS",6143
"State Line, MS",551
"Verona, MS",3019
"Sledge, MS",510
"Shelby, MS",2083
"Weir, MS",441
"Harrisville, MS",
"Polkville, MS",803
"Sanatorium, MS",
"Batesville, MS",7391
"Black Hawk, MS",
"Montrose, MS",136
"De Lisle, MS",
"Gloster, MS",898
"Okolona, MS",2618
"Tunica, MS",968
"Glancy, MS",
"Barnett, MS",
"Midnight, MS",
"Mooreville, MS",
"Hudsonville, MS",
"Kiln, MS",
"Soso, MS",401
"Lynchburg, MS",
"Flowood, MS",8859
"Durant, MS",2431
"Derma, MS",1000
"Howard, MS",
"Chicora, MS",
"Marks, MS",1551
"Bentonia, MS",423
"Crystal Springs, MS",4889
"Tishomingo, MS",336
"Rich, MS",
"Cruger, MS",354
"Collins, MS",2569
"Abbeville, MS",430
"Diamondhead, MS",8217
"Tuscola, MS",
"Sebastopol, MS",278
"Sandersville, MS",719
"Brooksville, MS",1169
"Bruce, MS",1887
"Sherman, MS",687
"Standing Pine, MS",
"Tucker, MS",
"Hamilton, MS",
"Buckatunna, MS",
"Redwater, MS",
"Sherard, MS",
"Vance, MS",
"Toomsuba, MS",
"Lena, MS",141
"Albin, MS",
"Snell, MS",
"Mize, MS",327
"Baird, MS",
"Gallman, MS",
"Gunn, MS",
"Webb, MS",519
"Merrill, MS",
"New Hebron, MS",445
"Clara, MS",
"Percy, MS",
"McLain, MS",427
"Pearl River, MS",
"Hattiesburg, MS",46926
"Clarksdale, MS",16272
"Saint Martin, MS",
"Lyon, MS",319
"Quincy, MS",
"Ocean Springs, MS",17652
"Magnolia, MS",2330
"Mount Pleasant, MS",
"Tie Plant, MS",
"Canton, MS",13643
"Guntown, MS",2720
"Louisville, MS",6324
"Basic, MS",
"Water Valley, MS",3393
"Algoma, MS",613
"Centreville, MS",1542
"Michigan City, MS",
"Darlove, MS",
"Hazlehurst, MS",3883
"Star, MS",
"De Kalb, MS",1045
"Beatty, MS",
"Waltersville, MS",
"Poplar Creek, MS",
"Beauregard, MS",322
"Prentiss, MS",982
"Tilden, MS",
"Shivers, MS",
"West Point, MS",10880
"Denmark, MS",
"Vardaman, MS",1291
"Waynesboro, MS",4944
"Taylor, MS",372
"Velma, MS",
"Forkville, MS",
"Strong, MS",
"Pope, MS",209
"Wyatte, MS",
"Stovall, MS",
"Friars Point, MS",1082
"Chunky, MS",324
"Morgantown, MS",
"Money, MS",
"Wade, MS",
"Cockrum, MS",
"Nellieburg, MS",
"Sharon, MS",
"Kossuth, MS",208
"Gattman, MS",87
"McAdams, MS",
"New Hamilton, MS",
"New Augusta, MS",638
"Mayersville, MS",541
"Utica, MS",869
"Orange Grove, MS",
"Thompson, MS",
"Hushpuckena, MS",
"Agricola, MS",
"Raymond, MS",2220
"Phoenix, MS",
"Benoit, MS",448
"Red Lick, MS",
"North Tunica, MS",
"Falkner, MS",510
"Carpenter, MS",
"Mendenhall, MS",2457
"Carrollton, MS",182
"Scooba, MS",697
"Hillhouse, MS",
"Falcon, MS",150
"Foxworth, MS",
"Philipp, MS",
"Lucas, MS",
"Georgetown, MS",281
"Mattson, MS",
"Bay Saint Louis, MS",12667
"Deeson, MS",
"Paris, MS",
"McVille, MS",
"Isola, MS",652
"Jonestown, MS",1172
"Farrell, MS",
"Savage, MS",
"White Apple, MS",
"Stampley, MS",
"Maben, MS",864
"Morton, MS",3434
"Nettleton, MS",1952
"Lyman, MS",
"Bogue Chitto, MS",
"Tuckers Crossing, MS",
"Escatawpa, MS",
"Pickens, MS",1054
"McNair, MS",
"Lakeshore, MS",
"Pinola, MS",
"Stanton, MS",
"Kirby, MS",
"Monticello, MS",1552
"Red Banks, MS",
"Drew, MS",1731
"Bigbee, MS",
"Marietta, MS",255
"Hopewell, MS",
"Hamburg, MS",
"Snow Lake Shores, MS",301
"Winterville, MS",
"Burns, MS",
"Grace, MS",
"Hickory, MS",526
"Edinburg, MS",
"Pricedale, MS",
"Booneville, MS",8744
"Oxford, MS",23290
"Rome, MS",
"Ozona, MS",
"Brookhaven, MS",12359
"Vossburg, MS",
"Yazoo City, MS",11180
"Petal, MS",10704
"Newton, MS",3317
"Montpelier, MS",
"Ingomar, MS",
"Toccopola, MS",255
"Hinchcliff, MS",
"White Oak, MS",
"Southaven, MS",53214
"Beaumont, MS",938
"Ashland, MS",543
"Perkinston, MS",
"Duncan, MS",401
"Gulf Hills, MS",
"Shuqualak, MS",483
"Madden, MS",
"Liberty, MS",688
"Lucedale, MS",3043
"Learned, MS",93
"Oma, MS",
"Jumpertown, MS",482
"Quitman, MS",2189
"Martin Bluff, MS",
"Wenasoga, MS",
"Summerland, MS",
"Camden, MS",
"Chatham, MS",
"Holly Springs, MS",7682
"Kosciusko, MS",7139
"Renova, MS",734
"University, MS",
"Arnold Line, MS",
"Crowder, MS",663
"Bellefontaine, MS",
"Daleville, MS",
"Clinton, MS",25211
"Kilmichael, MS",595
"Indianola, MS",9655
"Collinsville, MS",
"Longview, MS",
"Lessley, MS",
"Sanford, MS",
"Sweatman, MS",
"Port Gibson, MS",1430
"Wiggins, MS",4545
"Ackerman, MS",1469
"Kendrick, MS",
"Banks, MS",
"Bigbee Valley, MS",
"Waterford, MS",
"Hollywood, MS",
"Hatley, MS",467
"Stringer, MS",
"West Hattiesburg, MS",
"Winchester, MS",
"Anding, MS",
"Fayette, MS",1527
"Springville, MS",
"Gatesville, MS",
"Rolling Fork, MS",2025
"Clarkson, MS",
"Mantee, MS",221
"Sumrall, MS",1728
"Cleary, MS",
"Prairie Point, MS",
"Enterprise, MS",499
"Charleston, MS",2010
"Tremont, MS",464
"Coffeeville, MS",871
"Bolton, MS",543
"Bonhomie, MS",
"Ansley, MS",
"Thomastown, MS",
"Woodville, MS",986
"Maxie, MS",
"Union Church, MS",
"Auburn, MS",
"Bay Springs, MS",1738
"Vaiden, MS",980
"Tula, MS",
"Bude, MS",1017
"Howison, MS",
"Denham, MS",
"Farmington, MS",2189
"Hide-A-Way Lake, MS",
"New Hope, MS",
"Philadelphia, MS",7361
"Battles, MS",
"Tutwiler, MS",1111
"Goodman, MS",1313
"Coila, MS",
"Renfroe, MS",
"Crawford, MS",650
"De Soto, MS",
"Starkville, MS",25570
"Matherville, MS",
"Amory, MS",7067
"Tamola, MS",
"Roxie, MS",475
"Kearney Park, MS",
"Caledonia, MS",1050
"Decatur, MS",1788
"Eupora, MS",2075
"Hiwannee, MS",
"Thorn, MS",
"Pheba, MS",
"Benton, MS",
"Leflore, MS",
"Freeny, MS",
"Natchez, MS",15109
"Satartia, MS",53
"Leland, MS",4104
"Bond, MS",
"Winborn, MS",
"Wesson, MS",1891
"Biggersville, MS",
"Egypt, MS",
"Johns, MS",
"Doddsville, MS",89
"Eagle Bend, MS",
"Walnut Grove, MS",1608
"Summit, MS",1651
"Sibley, MS",
"Sunflower, MS",1049
"Burnsville, MS",930
"Pontotoc, MS",6109
"Wanilla, MS",
"Glendora, MS",139
"Gulf Park Estates, MS",
"Carriere, MS",
"Gunnison, MS",422
"Wilkinson, MS",
"Independence, MS",
"Holcut, MS",
"Moselle, MS",
"Bissell, MS",
"McNeill, MS",
"Beulah, MS",325
"Winstonville, MS",178
"Biloxi, MS",45975
"Coldwater, MS",1585
"Kolola Springs, MS",
"Pascagoula, MS",21981
"Byhalia, MS",1245
"Wallerville, MS",
"Dublin, MS",
"Lexington, MS",1573
"Value, MS",
"Williamsburg, MS",
"Louin, MS",268
"Rodney, MS",
"Midway, MS",
"New Albany, MS",8786
"Goss, MS",
"Washington, MS",
"Prairie, MS",
"Marion, MS",1555
"Rockport, MS",
"Ebenezer, MS",
"Baxterville, MS",
"Gulfport, MS",72076
"Jackson, MS",169148
"Merigold, MS",410
"Mashulaville, MS",
"Kokomo, MS",
"Evansville, MS",
"Electric Mills, MS",
"Bobo, MS",
"Cloverdale, MS",
"Dossville, MS",
"Taylorsville, MS",1286
"McCall Creek, MS",
"Baldwyn, MS",3332
"Lauderdale, MS",
"Terry, MS",1112
"Runnelstown, MS",
"Leedy, MS",
"Eddiceton, MS",
"Crenshaw, MS",853
"Paden, MS",115
"Coahoma, MS",343
"Stonewall, MS",1021
"Big Creek, MS",150
"Ecru, MS",982
"Belzoni, MS",2029
"Belen, MS",
"Blue Mountain, MS",954
"Mount Carmel, MS",
"Talowah, MS",
"Fulton, MS",4066
"Calhoun City, MS",1725
"McDonald, MS",
"Etta, MS",
"McMillan, MS",
"Harriston, MS",
"Darbun, MS",
"Smithville, MS",913
"Aberdeen, MS",5391
"Ellisville, MS",4567
"Vaughan, MS",
"Rosetta, MS",
"Geeville, MS",
"Pearl, MS",26485
"Vicksburg, MS",22925
"Forest, MS",5672
"Union, MS",1971
"McHenry, MS",
"Trebloc, MS",
"Senatobia, MS",7909
"Eastport, MS",
"Cary, MS",285
"Stafford Springs, MS",
"Lambert, MS",1462
"Winona, MS",4383
"Brooklyn, MS",
"Deemer, MS",
"Big Point, MS",
"Flora, MS",1884
"Schlater, MS",295
"Adams, MS",
"Magee, MS",4315
"Ethel, MS",404
"Tomnolen, MS",
"Sumner, MS",296
"Fitler, MS",
"Canaan, MS",
"Cleveland, MS",12101
"Laurel, MS",18756
"Shannon, MS",1772
"Conehatta, MS",
"Braxton, MS",179
"Prismatic, MS",
"Edwards, MS",1006
"Oakley, MS",
"Benndale, MS",
"Pulaski, MS",
"Tchula, MS",1981
"North Carrollton, MS",454
"Nitta Yuma, MS",
"Elliott, MS",
"Anguilla, MS",661
"Heidelberg, MS",684
"Fort Adams, MS",
"Suqualena, MS",
"Hillsboro, MS",
"Martinsville, MS",
"Kreole, MS",
"Fairview, MS",
"Piney Woods, MS",
"Garden City, MS",
"Waveland, MS",6428
"Tunica Resorts, MS",
"Pearlington, MS",
"Beechwood, MS",
"Iuka, MS",2989
"Chatawa, MS",
"Richton, MS",1062
"Courtland, MS",508
"Raleigh, MS",1416
"Glendale, MS",
"Prichard, MS",
"Houlka, MS",
"Blue Springs, MS",232
"Steens, MS",
"Houston, MS",3524
"Osyka, MS",427
"Carter, MS",
"Miller, MS",
"Mayhew, MS",
"Tiplersville, MS",
"Pachuta, MS",248
"Nesbit, MS",
"Sontag, MS",
"Mount Olive, MS",975
"Shubuta, MS",418
"Lula, MS",272
"Dennis, MS",
"Randolph, MS",
"Grand Gulf, MS",
"Sarah, MS",
"Richland, MS",7111
"Alligator, MS",194
"Paulding, MS",
"Mound Bayou, MS",1446
"Lumberton, MS",2226
"Branch, MS",
"Bourbon, MS",
"Avalon, MS",
"Tyro, MS",
"Horn Lake, MS",27042
"Hollandale, MS",2496
"Latimer, MS",
"Tillman, MS",
"Thornton, MS",
"Greenwood, MS",14415
"DeWeese, MS",
"James, MS",
"Coles, MS",
"Sturgis, MS",265
"Sallis, MS",129
"Sardis, MS",1655
"Sidon, MS",484
"Ridgeland, MS",24483
"Reganton, MS",
"Tinsley, MS",
"Thaxton, MS",668
"Silver Creek, MS",206
"McComb, MS",12811
"McCool, MS",130
"Banner, MS",
"Potts Camp, MS",497
"Belmont, MS",2032
"Long Beach, MS",15677
"Troy, MS",
"Itta Bena, MS",1931
"Arm, MS",
"Enid, MS",
"Gholson, MS",
"Sylvarena, MS",105
"Way, MS",
"West, MS",169
"Holcomb, MS",
"Brandon, MS",23826
"Puckett, MS",336
"Smithdale, MS",
"Meridian, MS",39113
"Tougaloo, MS",
"Mantachie, MS",1132
"Neely, MS",
"Saltillo, MS",5008
"Quito, MS",
"Peoria, MS",
"Lamont, MS",
"Sarepta, MS",
"Henderson Point, MS",
"Burnside, MS",
"Saucier, MS",
"Pocahontas, MS",
"Weathersby, MS",
"Lorman, MS",
"McLaurin, MS",
"Zama, MS",
"Eden, MS",99
"Leakesville, MS",921
"D'Lo, MS",447
"Nicholson, MS",
"Columbus, MS",24561
"Ludlow, MS",
"Pace, MS",256
"Ripley, MS",5373
"Rienzi, MS",315
"Seminary, MS",313
"Brownsville, MS",
"Macon, MS",2614
"Duck Hill, MS",1348
"Madison, MS",26031
"Barr, MS",
"Holly Bluff, MS",
"Slate Spring, MS",
"Wool Market, MS",
"Wayside, MS",
"Mathiston, MS",666
"Inverness, MS",927
"Fernwood, MS",
"Blaine, MS",
"Noxapater, MS",443
"Glens, MS",
"Hickory Flat, MS",562
"Heads, MS",
"Shaw, MS",1803
"Carthage, MS",4860
"Greenville, MS",31517
"Highpoint, MS",
"Arcola, MS",352
"Poplarville, MS",2977
"Tylertown, MS",1508
"Ruth, MS",
"Carlisle, MS",
"Pattison, MS",
"Betheden, MS",
"Wheeler, MS",
"Walls, MS",1295
"Minter City, MS",
"Como, MS",1240
"Picayune, MS",10625
"Stewart, MS",
"Sandy Hook, MS",
"Hermanville, MS",
"Oak Vale, MS",
"Belden, MS",
"Artesia, MS",429
"Ovett, MS",
"D'Iberville, MS",11503
"Hurley, MS",
"Little Rock, MS",
"Gautier, MS",18471
"Rosedale, MS",1727
"Woodland, MS",122
"Bassfield, MS",222
"Porterville, MS",
"Grenada, MS",12708
"Walnut, MS",765
"Morgan City, MS",242
"Golden, MS",189
"Pinckneyville, MS",
"Preston, MS",
"Robinsonville, MS",
"Silver City, MS",295
"Helena, MS",
"Crosby, MS",294
"Florence, MS",4396
"Louise, MS",182
"Myrtle, MS",499
"Purvis, MS",2341
"Lake, MS",322
"Tillatoba, MS",
"Pittsboro, MS",197
"Pass Christian, MS",5701
"Darling, MS",
"Slayden, MS",
"Dubbs, MS",
"McCallum, MS",
"Lexie, MS",
"Paynes, MS",
"Myrick, MS",
"Hernando, MS",15631
"Walthall, MS",137
"Pelahatchie, MS",1353
"French Camp, MS",169
"Palmers Crossing, MS",
"Moss Point, MS",13570
"Byram, MS",11545
"Plantersville, MS",1161
"Rawls Springs, MS",
"Corinth, MS",14818
"Olive Branch, MS",36699
"Redwood, MS",
"Skene, MS",
"Tupelo, MS",38842
"Stallo, MS",
"Glen Allan, MS",
"Dumas, MS",467
"Scott, MS",
"Moorhead, MS",2215
"Oakland, MS",514
"Neshoba, MS",
"Ruleville, MS",2727
"Ware Shoals, SC",2183
"Pacolet Mills, SC",
"Awendaw, SC",1384
"Lodge, SC",119
"Antreville, SC",
"Ninety Six, SC",2057
"Clover, SC",5950
"Columbia, SC",134309
"Fairfax, SC",1745
"Lake City, SC",6761
"Belvedere, SC",
"Modoc, SC",
"Gramling, SC",
"Sangaree, SC",
"Williamston, SC",4190
"Shell Point, SC",
"Waterloo, SC",148
"Central Pacolet, SC",227
"Scranton, SC",860
"Wando, SC",
"Elgin, SC",1540
"Whitmire, SC",1475
"Yemassee, SC",972
"Richburg, SC",263
"Red Bank, SC",
"Richtex, SC",
"Jonesville, SC",860
"Chesterfield, SC",1452
"Parker, SC",
"Longs, SC",
"North Hartsville, SC",
"Kline, SC",189
"Manning, SC",4042
"Cottageville, SC",747
"Barnwell, SC",4542
"Ulmer, SC",76
"Windsor, SC",122
"Hardeeville, SC",5721
"Ravenwood, SC",
"Arcadia, SC",
"Verdery, SC",
"Ruffin, SC",
"Dentsville, SC",
"Stuckey, SC",231
"Eureka Mill, SC",
"Norway, SC",324
"Liberty Hill, SC",
"Wade Hampton, SC",
"Cherry Grove Beach, SC",
"Lamar, SC",959
"Donalds, SC",341
"Gray Court, SC",798
"Turbeville, SC",803
"Vance, SC",164
"New Ellenton, SC",2146
"Loris, SC",2651
"Hopkins, SC",
"Greer, SC",29000
"Coward, SC",759
"Irwin, SC",
"Seven Oaks, SC",
"Cane Savannah, SC",
"Dillon, SC",6604
"Promised Land, SC",
"Rodman, SC",
"Bonneau Beach, SC",
"Bethune, SC",347
